Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000044
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;00:00:01;00:00:01;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;69.695;1021.130;9.2;66561
$;00:00:03;00:00:03;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;69.634;1021.109;9.2;66577
$;00:00:05;09:45:38;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;69.534;1021.169;9.2;66577
$;00:00:07;09:45:40;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.875;17.0;69.420;1021.109;9.2;66591
$;00:00:09;09:45:42;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.875;17.0;69.351;1021.150;9.2;66591
$;00:00:11;09:45:44;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;69.298;1021.90;9.2;66711
$;00:00:13;09:45:46;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.750;17.125;69.244;1021.70;9.2;66609
$;00:00:15;09:45:48;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.875;69.199;1021.80;9.2;66609
$;00:00:17;09:45:50;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.750;69.77;1021.99;9.2;66615
$;00:00:19;09:45:52;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;68.939;1021.130;9.2;66609
$;00:00:21;09:45:54;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;68.840;1021.70;9.2;66609
$;00:00:23;09:45:56;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;17.0;68.764;1021.0;9.2;66615
$;00:00:25;09:45:58;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.875;68.710;1021.109;9.2;66609
$;00:00:27;09:46:00;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.875;68.649;1021.49;9.2;66609
$;00:00:29;09:46:02;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.875;68.604;1021.179;9.1;66615
$;00:00:31;09:46:04;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.750;68.588;1021.119;9.2;66609
$;00:00:33;09:46:06;04.10.2022;Y;04;54 03.91101 N;009 59.05047 E;0.557;1.0;;1.3;20.0;16.875;68.550;1021.99;9.2;66673
$;00:00:35;09:46:08;04.10.2022;Y;04;54 03.91075 N;009 59.05106 E;0.184;0.3;;-0.2;19.875;17.0;68.527;1021.210;9.2;66673
$;00:00:37;09:46:10;04.10.2022;Y;04;54 03.91093 N;009 59.05062 E;0.245;0.4;;0.2;19.875;17.0;68.504;1020.969;9.2;66673
$;00:00:39;09:46:12;04.10.2022;Y;04;54 03.91139 N;009 59.04908 E;0.255;0.4;;4.0;20.0;16.750;68.481;1021.169;9.2;66673
$;00:00:41;09:46:14;04.10.2022;Y;04;54 03.91195 N;009 59.04674 E;0.839;1.5;;10.1;20.0;16.875;68.451;1020.940;9.2;66673
$;00:00:43;09:46:16;04.10.2022;Y;04;54 03.91210 N;009 59.04616 E;0.754;1.3;;11.5;20.0;16.750;68.436;1021.260;9.2;66673
$;00:00:45;09:46:18;04.10.2022;Y;04;54 03.91195 N;009 59.04650 E;1.526;2.8;;10.4;20.125;17.0;68.413;1021.119;9.2;66673
$;00:00:47;09:46:20;04.10.2022;Y;04;54 03.91192 N;009 59.04565 E;1.335;2.4;;13.1;20.0;16.875;68.413;1021.49;9.2;66673
$;00:00:49;09:46:22;04.10.2022;Y;04;54 03.91186 N;009 59.04495 E;0.960;1.7;;16.1;20.0;17.0;68.420;1021.210;9.1;66673
$;00:00:51;09:46:24;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;20.125;17.0;68.420;1021.99;9.2;66609
$;00:00:53;09:46:26;04.10.2022;Y;04;54 03.90992 N;009 59.04117 E;2.265;4.1;310.05;27.8;20.125;16.875;68.443;1021.169;9.1;66673
$;00:00:55;09:46:28;04.10.2022;Y;04;54 03.91058 N;009 59.04008 E;0.932;1.7;;27.1;20.0;17.0;68.459;1021.0;9.2;66673
$;00:00:57;09:46:30;04.10.2022;Y;04;54 03.90912 N;009 59.03857 E;0.966;1.7;;27.9;20.125;17.0;68.466;1021.49;9.2;66673
$;00:00:59;09:46:32;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;20.125;17.0;68.489;1021.169;9.2;66609
$;00:01:01;09:46:34;04.10.2022;Y;04;54 03.91088 N;009 59.04153 E;0.365;0.6;;30.4;20.250;16.875;68.504;1021.59;9.2;66673
$;00:01:03;09:46:36;04.10.2022;Y;04;54 03.91003 N;009 59.04123 E;0.173;0.3;;28.1;20.125;16.875;68.520;1021.90;9.1;66673
$;00:01:05;09:46:38;04.10.2022;Y;04;54 03.91012 N;009 59.04429 E;0.694;1.2;;16.9;20.125;16.875;68.527;1021.80;9.2;66673
$;00:01:07;09:46:40;04.10.2022;Y;04;54 03.90959 N;009 59.04530 E;0.866;1.6;;11.7;20.250;17.0;68.535;1020.940;9.1;66673
$;00:01:09;09:46:42;04.10.2022;Y;04;54 03.91034 N;009 59.04461 E;1.894;3.5;;10.6;20.125;16.750;68.535;1020.989;9.2;66673
$;00:01:11;09:46:44;04.10.2022;Y;04;54 03.91062 N;009 59.04536 E;0.677;1.2;;8.2;20.0;16.875;68.520;1021.10;9.2;66673
$;00:01:13;09:46:46;04.10.2022;Y;04;54 03.91067 N;009 59.04502 E;0.293;0.5;;10.5;20.0;17.0;68.497;1021.99;9.1;66673
$;00:01:15;09:46:48;04.10.2022;Y;04;54 03.91094 N;009 59.04585 E;0.595;1.1;;9.9;20.250;17.0;68.497;1021.70;9.2;66673
$;00:01:17;09:46:50;04.10.2022;Y;04;54 03.91090 N;009 59.04663 E;0.302;0.5;;9.1;20.125;16.875;68.497;1021.20;9.2;66673
$;00:01:19;09:46:52;04.10.2022;Y;04;54 03.91107 N;009 59.04629 E;0.250;0.4;;10.0;20.125;16.875;68.512;1021.70;9.1;66673
$;00:01:21;09:46:54;04.10.2022;Y;04;54 03.91123 N;009 59.04646 E;0.372;0.6;;9.8;20.250;16.875;68.527;1020.960;9.2;66673
$;00:01:23;09:46:56;04.10.2022;Y;04;54 03.91176 N;009 59.04515 E;0.510;0.9;;13.2;20.125;16.875;68.558;1020.969;9.1;66673
$;00:01:25;09:46:58;04.10.2022;Y;06;54 03.91175 N;009 59.04479 E;1.319;2.4;206.39;15.8;20.125;17.125;68.581;1020.979;9.2;66673
$;00:01:27;09:47:00;04.10.2022;Y;06;54 03.91218 N;009 59.04401 E;0.181;0.3;;18.2;20.125;17.0;68.596;1021.109;9.1;66673
$;00:01:29;09:47:02;04.10.2022;Y;06;54 03.91316 N;009 59.04304 E;0.377;0.6;;18.9;20.250;17.0;68.611;1021.109;9.1;66673
$;00:01:31;09:47:04;04.10.2022;Y;05;54 03.91305 N;009 59.04283 E;0.465;0.8;;19.4;20.125;16.875;68.634;1021.39;9.2;66673
$;00:01:33;09:47:06;04.10.2022;Y;06;54 03.91259 N;009 59.04267 E;0.178;0.3;;18.7;20.375;17.125;68.657;1021.70;9.2;66673
