Temperatur; Luftfeuchtigkeit; Luftdruck; TVOC; CO2; UV
22.39; 85; 65614; 0; 0; 0

18.91; 61; 101829; 0; 400; 0

18.98; 61; 101830; 0; 400; 0

18.74; 61; 101826; 0; 400; 0

18.65; 61; 101828; 0; 400; 0

18.65; 62; 101831; 0; 400; 0

18.62; 61; 101832; 0; 400; 0

18.65; 61; 101831; 0; 400; 0

18.72; 62; 101831; 1; 408; 0

18.84; 62; 101830; 2; 414; 0

18.91; 62; 101837; 1; 408; 0

18.98; 62; 101832; 0; 405; 0

19.06; 61; 101834; 2; 414; 0

19.14; 61; 101834; 0; 405; 0

19.27; 61; 101835; 0; 400; 0

19.41; 61; 101834; 0; 400; 0

19.52; 60; 101833; 0; 400; 0

19.61; 60; 101835; 2; 414; 0

19.67; 61; 101834; 2; 418; 0

19.82; 61; 101834; 2; 418; 0

19.91; 60; 101834; 2; 418; 0

19.89; 60; 101833; 0; 400; 0

19.92; 59; 101832; 0; 403; 0

19.98; 59; 101833; 1; 409; 0

20.09; 66; 101830; 42; 678; 0

20.46; 71; 101833; 34; 626; 0

20.27; 70; 101834; 14; 492; 0

20.06; 66; 101811; 0; 403; 0

19.96; 63; 101832; 1; 411; 0

19.80; 62; 101835; 0; 400; 0

19.65; 60; 101834; 0; 403; 0

19.18; 60; 101835; 0; 405; 0

18.95; 60; 101829; 0; 405; 0

18.86; 60; 101833; 0; 405; 0

18.92; 60; 101830; 0; 405; 0

18.94; 61; 101828; 1; 413; 0

18.74; 61; 101827; 0; 405; 0

18.70; 62; 101825; 3; 422; 0

18.65; 62; 101828; 1; 413; 0

18.58; 62; 101826; 1; 413; 0

18.50; 62; 101825; 1; 409; 0

18.41; 62; 101823; 0; 405; 0

18.43; 62; 101826; 1; 413; 0

18.47; 62; 101822; 1; 413; 0

18.51; 63; 101824; 2; 417; 0

18.57; 64; 101823; 3; 422; 0

18.61; 64; 101824; 3; 426; 0

18.64; 64; 101823; 3; 426; 0

18.61; 63; 101829; 1; 413; 0

18.58; 63; 101823; 1; 413; 0

18.47; 62; 101827; 0; 400; 0

18.41; 62; 101823; 0; 405; 0

